Activity_code,Goal_1,Goal_2,Goal_3,
23030.01,7.1,7.2,,
23030.02,7.1,7.2,,
23030.03,7.1,7.2,,
23030.04,7.1,7.2,,
23030.05,7.1,7.2,,
23030.06,7.1,7.2,,
23030.07,7.1,7.2,,
23040.01,7.1,,,
23040.02,7.1,,,
23040.03,7.1,16.6,,
23050.01,7.1,,,
23050.02,7.1,,,
23055.01,7.1,,,
23055.02,7.1,,,
23081.01,4,7,,
23082.01,7,9.5,,
24005.01,8.1,9.3,,
24010.01,8.1,9.3,16.6,
24010.02,8.1,9.3,16.6,
24010.03,8.1,16.6,,
24010.04,10.5,16.6,,
24020.01,8.1,16.6,,
24030.01,8.1,9.3,,
24030.02,8.1,9.3,,
24030.03,8.1,9.3,,
24040.01,8.1, ,,
24040.02,8.1,,,
24040.03,8.1,,,
24081.01,4,8.1,,
25010.01,8.3,,,
25010.02,8.3,,,
25010.03,8.3,16.6,,
25010.04,8.3,9.1,,
25010.05,8.3,16.3,,
25010.06,8.3,,,
25010.07,8.3,17.17,,
25010.08,8.3,,,
25020.01,DO NOT CODE,,,
25081.01,4,8.3,,
31105.01,2.4,,,
31110.01,2.4,16.6,,
31110.02,2.4,16.6,,
31110.03,2.4,16.6,,
31110.04,2.4,16.6,,
31110.05,2.4,,,
31120.01,2.4,,,
31120.02,2.4,,,
31120.03,2.4,,,
31120.04,2.4, 2.a ,9.1,11.2
31120.05,2.4, 2.a ,9.1,
31120.06,2.4,,,
31120.07,2.4,,,
31120.08,2.4,,,
31120.09,2.4,,,
31130.01,2.4,,,
31130.02,2.4,,,
31130.03,2.4,,,
31130.04,2.4,,,
31130.05,2.4,15.3,,
31130.06,2.4,15.3,,
31130.07,2.4,15.3,,
31140.01,2.4,6,,
31140.02,2.4,6,9.1,
31140.03,2.4,6,9.1,
31140.04,2.4,6,9.1,
31140.05,2.4,,,
31150.01,2.4,,,
31150.02,2.4,,,
31150.03,2.4,,,
31150.04,2.4, ,,
31181.01,2.4,4,,
31181.02,2.4, 2.a,,
31182.01,2.4, 2.a,,
31182.02,2.4, 2.a,,
31182.03,2.4, 2.a,,
31191.01,2.4, 2.c,,
31191.02,2.4,,,
31191.03,2.4,8.1,,
31191.04,2.3,2.4,,
31191.05,2.4,,,
31205.01,15.2,,,
31210.01,15.2, 15.b ,16.6,
31210.02,15.2, 15.b ,16.6,
31210.03,15.2,16.6,,
31210.04,15.2, 15.b,,
31220.01,15.2, 15.b,,
31220.02,15.2, 15.b,,
31220.03,DO NOT CODE,,,
31220.04,15.3,,,
31220.05,15.3,,,
31220.06,15.2, 15.b,,
31220.07,15.2,2.4,,
31220.08,DO NOT CODE,,,
31281.01,4,15.2,,
31282.01,15.2,,,
31291.01,15.2,,,
31291.02,DO NOT CODE,,,
31291.03,8.1,15.2,,
31305.01,DO NOT CODE,,,
31310.01,14.4,16.6,,
31310.02,14.4,16.6,,
31310.03,14.4,16.6,,
31320.01,2.4,,,
31320.02,2.4,,,
31320.03,14.4,,,
31320.04,2.4,,,
31320.05,2.4,,,
31330.01,2.4,,,
31330.02,2.4,,,
31330.03,2.4,,,
31381.01,2.4,4,,
31382.01,2.4, 2.a,,
31382.02,2.4, 2.a,,
31382.03,14.a ,,,
31391.01,2.4,,,
31391.02,2.4,9.1,,
31391.03,2.4,8.1,,
31391.04,2.4,8.3,,
31391.05,2.4,,,
32105.01,9.2,,,
32110.01,9.2,16.6,,
32110.02,9.2,16.6,,
32110.03,9.2,16.6,,
